"","mean_s","d","el","mean_p","d_el","d2","el2","d_el_div","log_d","log_el","sqrt_d","sqrt_el","class"
"121",6,346,226,0.48,78196,119716,51076,1.53097345132743,5.84643877505772,5.42053499927229,18.6010752377383,15.0332963783729,0
"122",6,351,211,0.55,74061,123201,44521,1.66350710900474,5.86078622346587,5.35185813347607,18.7349939951952,14.5258390463339,0
"123",6,351,226,0.47,79326,123201,51076,1.55309734513274,5.86078622346587,5.42053499927229,18.7349939951952,15.0332963783729,1
"124",6,356,211,0.55,75116,126736,44521,1.68720379146919,5.87493073085203,5.35185813347607,18.8679622641132,14.5258390463339,0
"125",6,361,211,0.55,76171,130321,44521,1.71090047393365,5.88887795833288,5.35185813347607,19,14.5258390463339,0
"126",6,366,211,0.55,77226,133956,44521,1.7345971563981,5.90263333340137,5.35185813347607,19.131126469709,14.5258390463339,0
"127",6,371,211,0.55,78281,137641,44521,1.75829383886256,5.91620206260743,5.35185813347607,19.2613602842582,14.5258390463339,0
"128",6,376,211,0.55,79336,141376,44521,1.78199052132701,5.92958914338989,5.35185813347607,19.3907194296653,14.5258390463339,0
"129",6,381,211,0.55,80391,145161,44521,1.80568720379147,5.9427993751267,5.35185813347607,19.5192212959431,14.5258390463339,0
"130",6,386,211,0.55,81446,148996,44521,1.82938388625592,5.95583736946483,5.35185813347607,19.6468827043885,14.5258390463339,0
"131",6,391,211,0.55,82501,152881,44521,1.85308056872038,5.96870755998537,5.35185813347607,19.7737199332852,14.5258390463339,0
"132",6,396,181,0.55,71676,156816,32761,2.1878453038674,5.98141421125448,5.19849703126583,19.8997487421324,13.4536240470737,1
"133",6,396,211,0.55,83556,156816,44521,1.87677725118483,5.98141421125448,5.35185813347607,19.8997487421324,14.5258390463339,0
"134",6.1,401,106,0.55,42506,160801,11236,3.78301886792453,5.99396142730657,4.66343909411207,20.0249843945008,10.295630140987,0
"135",6,401,181,0.55,72581,160801,32761,2.21546961325967,5.99396142730657,5.19849703126583,20.0249843945008,13.4536240470737,0
"136",6,401,211,0.55,84611,160801,44521,1.90047393364929,5.99396142730657,5.35185813347607,20.0249843945008,14.5258390463339,0
"137",6,406,181,0.55,73486,164836,32761,2.24309392265193,6.00635315960173,5.19849703126583,20.1494416796099,13.4536240470737,0
"138",6,406,211,0.55,85666,164836,44521,1.92417061611374,6.00635315960173,5.35185813347607,20.1494416796099,14.5258390463339,0
"139",6,411,181,0.55,74391,168921,32761,2.2707182320442,6.01859321449623,5.19849703126583,20.2731349327133,13.4536240470737,0
"140",6,416,106,0.55,44096,173056,11236,3.92452830188679,6.03068526026126,4.66343909411207,20.3960780543711,10.295630140987,0
